id,lang,type,size,policy,determinism,environment,command
r010,ts,pure,xs,memo,seed_auto,node20,fibonacci(10)
r011,ts,pure,m,par,seed_auto,node20,fibonacci(30)
r012,ts,pure,l,memo_par,seed_auto,node18,fibonacci(40)
r013,py,validate,xs,memo,seed_auto,node20,validate_schema(small.json)
r014,py,validate,m,par,fake_timers,node20,validate_schema(medium.json)
r015,py,validate,l,surgeon,rand,node18,validate_schema(large.json)
r016,rust,graph,xs,memo,seed_auto,node20,bfs_traverse(10_nodes)
r017,rust,graph,m,par,seed_auto,node18,bfs_traverse(1000_nodes)
r018,rust,graph,l,memo_par,env_touch,node20,bfs_traverse(10000_nodes)
r019,ts,io_lite,xs,none,seed_auto,node20,read_config()
r020,ts,io_lite,m,surgeon,fake_timers,node18,parse_csv(1mb)
r021,ts,io_lite,l,memo,rand,node20,parse_csv(100mb)
r022,py,pure,xs,par,seed_auto,node18,prime_check(100)
r023,py,pure,m,memo_par,seed_auto,node20,prime_check(10000)
r024,py,pure,l,surgeon,fake_timers,node18,prime_check(1000000)
r025,rust,validate,xs,memo,rand,node20,json_validate(tiny)
r026,rust,validate,m,par,env_touch,node18,json_validate(medium)
r027,rust,validate,l,memo_par,seed_auto,node20,json_validate(huge)
r028,ts,graph,xs,surgeon,seed_auto,node18,dijkstra(10)
r029,ts,graph,m,memo,fake_timers,node20,dijkstra(100)
r030,ts,graph,l,par,rand,node18,dijkstra(1000)
r031,py,io_lite,xs,memo_par,env_touch,node20,file_hash(1kb)
r032,py,io_lite,m,none,seed_auto,node18,file_hash(10mb)
r033,py,io_lite,l,surgeon,seed_auto,node20,file_hash(1gb)
